1,0,1000,31.2026,11.0956,12.5788,P0,0.837884,76238.3,N
2,1000,2000,31.4154,11.5594,12.7917,P0,0.811657,88108.6,N
3,2000,3000,32.0421,11.3223,12.5404,P0,0.854491,110026,N
4,3000,4000,32.5862,11.4526,12.479,P0,0.771704,107802,N
5,4000,5000,33.7902,11.7388,11.4331,P0,0.815484,138333,N
6,5000,6000,33.3287,11.8886,11.2834,P0,0.867251,183754,N
7,6000,7000,33.8927,12.624,11.2039,P0,0.832924,173672,N
8,7000,8000,33.3062,13.4732,10.9548,P0,0.845935,184104,N
9,8000,9000,33.8117,15.0248,11.5097,P0,0.844713,197789,N
10,9000,10000,34.3324,16.8228,10.5753,P0,0.820574,235441,N
11,10000,11000,34.6964,20.0514,10.4338,P0,0.783138,198046,N
12,11000,12000,33.179,23.9252,10.362,P0,0.524519,416699,N
13,12000,13000,32.6839,25.8299,10.3897,P0,0.618634,469339,N
14,13000,14000,32.0408,27.7114,10.1593,P0,0.630856,472142,N
15,14000,15000,32.219,29.7009,10.0971,P0,0.64413,436501,N
16,15000,16000,32.1526,30.5379,10.2845,P0,0.677824,483142,N
17,16000,17000,32.0011,30.9209,10.0795,P0,0.684496,533648,N
18,17000,18000,32.0199,30.8708,9.84229,P0,0.691049,490901,N
19,18000,19000,31.5009,31.0089,10.2434,P0,0.735205,432177,N
20,19000,20000,31.7545,30.8672,9.94275,P0,0.713387,356383,N
21,20000,21000,31.8859,29.9197,9.84115,P0,0.729987,331422,N
22,21000,22000,31.729,29.8771,10.0792,P0,0.702836,303678,N
23,22000,23000,32.1679,28.73,10.1471,P0,0.66981,315366,N
24,23000,24000,32.4496,28.5239,10.3821,P0,0.571553,302467,D
25,24000,25000,32.7847,27.1341,10.2987,P0,0.519093,320639,D
26,25000,26000,33.627,26.6935,10.3463,P0,0.469893,351926,D
27,26000,27000,34.0579,26.5628,9.55974,P0,0.359886,326183,D
28,27000,28000,33.3875,26.7152,9.25252,P0,0.277338,363539,D
29,28000,29000,32.761,28.3489,10.2363,P0,0.236006,360539,D
30,29000,30000,32.1557,29.2559,10.5375,P0,0.199784,350799,D
31,30000,31000,32.379,27.485,10.2622,P0,0.17811,369578,D
32,31000,32000,32.2771,27.7379,10.3167,P0,0.165875,452023,D
33,32000,33000,31.91,28.5231,9.98286,P0,0.145123,383410,D
34,33000,34000,31.5036,28.5577,10.2082,P0,0.106612,382363,D
35,34000,35000,31.3044,30.5148,10.202,P0,0.283824,412587,D
36,35000,36000,29.8648,35.0037,9.59873,AB,0.534055,265596,D
36,35000,36001,33.998,18.9819,10.1657,P1,0.613392,124125,N
37,36000,37000,29.9306,34.533,9.69477,AB,0.530781,257160,D
37,36001,37001,33.6372,18.5647,10.5301,P1,0.750711,132042,N
38,37000,38000,29.4555,34.5394,9.34732,AB,0.563564,292312,D
38,37001,38001,34.1304,18.2816,10.1578,P1,0.780382,146215,N
39,38000,39000,29.5592,34.6287,9.79661,AB,0.534701,284133,D
39,38001,39001,34.1345,17.7394,10.6549,P1,0.802455,175728,N
40,39000,40000,29.7554,35.1511,9.32684,AB,0.660281,240985,N
40,39001,40001,34.8375,16.4958,10.2101,P1,0.793641,178881,N
41,40000,41000,29.8285,35.7496,9.74674,AB,0.667198,236730,N
41,40001,41001,34.5514,15.5332,10.5116,P1,0.803264,180789,N
42,41000,42000,30.0508,36.1537,9.91844,AB,0.650135,220862,N
42,41001,42001,34.2152,14.7515,10.43,P1,0.775526,185241,N
43,42000,43000,30.3045,35.4649,9.94306,AB,0.726241,243857,N
43,42001,43001,33.8301,14.5583,9.80233,P1,0.808308,191418,N
44,43000,44000,30.1496,36.3418,10.0901,AB,0.736025,227168,N
44,43001,44001,33.4629,14.6092,9.93904,P1,0.830147,198984,N
45,44000,45000,30.7034,36.9431,10.2254,AB,0.733346,254991,N
45,44001,45001,33.2987,14.5382,9.86624,P1,0.825443,200828,N
46,45000,46000,30.7108,38.0509,10.5852,AB,0.780814,273370,N
46,45001,46001,33.4084,13.8092,10.095,P1,0.818652,215955,N
47,46000,47000,30.8736,38.3857,10.5806,AB,0.769157,233345,N
47,46001,47001,33.5213,13.7493,10.4928,P1,0.840551,224455,N
48,47000,48000,30.7274,38.2317,9.76903,AB,0.752062,257244,N
48,47001,48001,34.0604,14.1797,10.7989,P1,0.846223,225354,N
49,48000,49000,31.0141,37.9633,9.83617,AB,0.791786,291136,N
49,48001,49001,33.9759,13.9757,10.9017,P1,0.841622,239992,N
50,49000,50000,30.5494,38.1028,9.73138,AB,0.753155,302892,N
50,49001,50001,35.001,14.2659,10.8419,P1,0.851056,236775,N
51,50000,51000,30.6739,37.3065,9.28135,AB,0.724302,320718,N
51,50001,51001,34.766,14.7916,11.3062,P1,0.857621,262829,N
52,51000,52000,30.1943,36.8486,9.17617,AB,0.746923,295475,N
52,51001,52001,34.0713,15.0714,11.2324,P1,0.840523,254763,N
53,52000,53000,30.506,37.17,9.56448,AB,0.743673,349148,N
53,52001,53001,33.812,14.8636,10.5904,P1,0.838883,261993,N
54,53000,54000,30.4122,37.2581,9.37186,AB,0.75904,336848,N
54,53001,54001,33.506,15.4127,10.2572,P1,0.830464,278959,N
55,54000,55000,30.5748,37.1996,9.4057,AB,0.767737,364631,N
55,54001,55001,33.8637,16.1228,10.3534,P1,0.825367,277269,N
56,55000,56000,30.467,37.5907,9.53059,AB,0.7806,344775,N
56,55001,56001,33.3894,16.9842,10.5519,P1,0.805958,292895,N
57,56000,57000,30.1468,37.7083,10.2365,AB,0.77804,323994,N
